id,Start,End
1,554484,4039791
1,86818284,247165315
2,5703,19443
3,41866,25385746
4,26568,292934
5,81949,180629495
6,110391,119749
7,138342,139491
7,125536046,125880817
7,150361932,158811981
8,103565,151222
9,30910,30341247
10,94427,7781962
10,33409859,135284541
11,188510,134449982
12,31643,66836
13,17924952,17943720
14,19272965,106356482
15,18331687,18331687
15,21520763,82648782
16,31010,35481
16,33325823,88690776
17,6689,18901
18,1543,9866208
19,211912,217888
20,9795,17408
21,9928594,9957781
22,14433758,14435070
